author,comments,name,press,price,rank
云葭,9028条评论,一本书读完最美古诗词（上下册）,中国华侨出版社,¥37.50,121.
陈梦敏,250900条评论,学会管自己（歪歪兔独立成长童话）,海豚出版社,¥88.30,122.
果麦,185672条评论,给孩子读诗（畅销100万册纪念，全新升级AR版，扫码免费收听。闫妮,浙江文艺出版社,¥46.90,123.
希利尔,117266条评论,希利尔讲世界史、世界地理、艺术史 套装,贵州教育出版社,¥94.10,124.
杨红樱,507条评论,笑猫日记--又见小可怜,明天出版社,¥15.80,125.
艾克拜尔,105859条评论,阿凡提经典故事系列丛书（全4册）,新疆青少年出版社,¥55.00,126.
海伦·帕尔默,18317条评论,九型人格 : 职场高品质沟通的艺术,北京联合出版公司,¥39.80,127.
渡边淳一,428条评论,失乐园,青岛出版社,¥35.70,128.
学研教育出版,52066条评论,让孩子爱上科学的趣味实验大百科,浙江少年儿童出版社,¥78.60,129.
萧红,62114条评论,呼兰河传（此版本当当网销量遥遥领先！《呼兰河传》和《生死场》,北京联合出版公司,¥19.90,130.
廉萍,1797条评论,陪孩子读古诗词（精装，4册套装，含配乐朗诵）,中国少年儿童出版社,¥163.70,131.
英格丽,49468条评论,多莱尔的希腊神话书（畅销千万册，纽约公共图书馆“百年百佳书”,江苏教育出版社,¥83.60,132.
张嘉骅,1601条评论,少年读西游记（套装全3册）,青岛出版社,¥75.20,133.
罗杰·哈格里维斯,52460条评论,奇先生妙小姐·全新译本（全83册）,人民邮电出版社,¥339.30,134.
中央党校采访实录编辑室,8645条评论,习近平的七年知青岁月              100册以上团购请联系电话010,中共中央党校出版社,¥52.20,135.
克尔,72122条评论,环球旅行,未来出版社,¥62.00,136.
陈卫平,70283条评论,写给儿童的世界历史（全16册）,贵州教育出版社,¥330.80,137.
歪歪兔关键期早教项目组,102885条评论,不用说，孩子就会听——歪歪兔逆反期教育系列图画书（全8册）,海豚出版社,¥60.10,138.
桑妮,35828条评论,且以优雅过一生：杨绛传,湖南文艺出版社,¥22.00,139.
楠茂宣,33736条评论,请不要生气·日本精选儿童成长绘本系列,北京科学技术出版社,¥28.00,140.
周国平,56070条评论,我喜欢生命本来的样子(周国平经典散文作品集),作家出版社,¥42.80,1.
戴维·伽特森,43509条评论,雪落香杉树 (福克纳奖得主，全球畅销500万册),作家出版社,¥49.40,2.
乔安娜柯尔,219658条评论,神奇校车·桥梁书版（全20册）,贵州人民出版社,¥120.20,3.
郑利强,159288条评论,我的第一本地理启蒙书,新世界出版社,¥34.40,4.
余华,22997条评论,活着（2017年新版）,作家出版社,¥25.00,5.
高春香,295685条评论,这就是二十四节气（中国二十四节气彩绘版，文津图书奖获奖绘本，,海豚出版社,¥86.60,6.
加西亚·马尔克斯,131949条评论,马尔克斯：百年孤独（50周年纪念版）,南海出版公司,¥54.50,7.
高铭,530414条评论,天才在左疯子在右（完整版）,北京联合出版公司,¥35.60,8.
丹姆,384003条评论,小熊和最好的爸爸（全7册）,贵州人民出版社,¥27.00,9.
二混子,85585条评论,半小时漫画中国史（修订版）(其实是一本严谨的极简中国史。团购电,江苏文艺出版社,¥29.90,10.
张嘉骅,131423条评论,少年读史记（套装全5册）,青岛出版社,¥84.20,11.
东野圭吾,1348930条评论,东野圭吾：解忧杂货店,南海出版公司,¥39.10,12.
陈卫平,285325条评论,写给儿童的中国历史（全14册）,新世界出版社,¥284.50,13.
杨绛,638742条评论,我们仨（新版）,生活.读书.新知三联书店,¥20.50,14.
东野圭吾,91465条评论,东野圭吾：白夜行（2017版）,南海出版公司,¥59.00,15.
佐佐木圭一,207526条评论,所谓情商高，就是会说话,北京联合出版公司,¥28.40,16.
太宰治,342425条评论,人间失格（日本小说家太宰治的自传体小说）,作家出版社,¥17.30,17.
卡勒德·胡赛尼,1632441条评论,追风筝的人（1-9年级必读书单）,上海人民出版社,¥27.60,18.
加·泽文,667587条评论,岛上书店（每个人的生命中，都有无比艰难的那一年，将人生变得美,江苏文艺出版社,¥17.50,19.
珊蒂克雷文,71907条评论,学会爱自己（教孩子免受性侵犯！学会保护自己！）（全3辑，共14册,青岛出版社,¥155.00,20.
王小波,10885条评论,一只特立独行的猪,北京十月文艺出版社,¥33.30,21.
亚历山德拉·米热林斯卡,437763条评论,《地图（人文版）》手绘世界地图·儿童百科绘本,贵州人民出版社,¥78.60,22.
姜自霞,20538条评论,魔法拼音国（套装 共7册）,浙江少年儿童出版社,¥49.00,23.
乔安娜柯尔,673548条评论,神奇校车·图画书版（全11册）,贵州人民出版社,¥105.80,24.
李思圆,4705条评论,生活需要仪式感 （你可以活得更高级，把温暖和感动带给你在乎的人,山东文艺出版社,¥23.00,25.
大冰,265708条评论,我不（大冰2017新作。再度突破当当预售新记录！10分钟卖出10万册,湖南文艺出版社,¥31.20,26.
哥伦,145078条评论,霍乱时期的爱情（2015版）,南海出版公司,¥47.00,27.
艾伦·贝克尔,56591条评论,不可思议的旅程（凯迪克大奖绘本三部曲）,新星出版社,¥102.90,28.
贾平凹,268921条评论,自在独行     贾平凹的独行世界,长江文艺出版社,¥34.60,29.
斯凯瑞,295798条评论,斯凯瑞金色童书·第一辑（全4册）,贵州人民出版社,¥66.80,30.
莱曼·弗兰克·鲍姆,33506条评论,百年童话绘本·典藏版（全套5辑共30册）,北京联合出版公司,¥306.40,31.
余华,150893条评论,第七天（余华作品，比《活着》更绝望，比《兄弟》更荒诞）,新星出版社,¥28.00,32.
克莱儿·麦克福尔,696534条评论,摆渡人（如果命运是一条孤独的河流，谁会是你灵魂的摆渡人？）,百花洲文艺出版社,¥28.60,33.
毛姆,16406条评论,月亮和六便士（又译作《月亮与六便士》，2017修订详注版+无删节全,时代文艺出版社,¥18.60,34.
安东尼·布朗,183013条评论,我爸爸+我妈妈（全2册）,   ,¥44.40,35.
东野圭吾,162900条评论,东野圭吾：恶意（2016版）,南海出版公司,¥39.10,36.
简·尼尔森,110947条评论,《正面管教》修订版,北京联合出版公司,¥27.20,37.
黄仁宇,120438条评论,万历十五年,生活.读书.新知三联书店,¥23.10,38.
弗雷德里克·巴克曼,80658条评论,外婆的道歉信（马思纯领读书目，人民日报、央视推荐。年度口碑爆,天津人民出版社,¥36.80,39.
安托万·德·圣埃克苏佩里,576377条评论,小王子（畅销280万册，作者基金会官方认证简体中文版）,天津人民出版社,¥26.60,40.
阿梅莉·卡斯唐,938条评论,去旅行系列（全2册）法国教育部推荐！深度知识体系的人文地理百科,广西科学技术出版社,¥164.50,81.
东野圭吾,1227条评论,东野圭吾：假面山庄（东野圭吾烧脑长篇）,北京十月文艺出版社,¥42.80,82.
琬如,2719条评论,飞花令里读诗词 套装全4册,时代文艺出版社,¥83.40,83.
不列颠百科出品,107602条评论,大英儿童百科全书（全16卷）,湖南少儿出版社,¥309.10,84.
刘同,15668条评论,我在未来等你：刘同2017年新书,北京联合出版有限公司,¥33.40,85.
莫里斯桑达克,77351条评论,野兽国 （凯迪克金奖绘本，莫里斯桑达克代表品）,贵州人民出版社,¥27.70,86.
东野圭吾,103299条评论,东野圭吾：时生（东野圭吾暖心力作）,南海出版公司,¥35.30,87.
莳田晋至,3141条评论,在教室说错了没关系,青岛出版社,¥24.80,88.
哈珀·李,113070条评论,杀死一只知更鸟（纪念版）,译林出版社,¥29.20,89.
高苏珊娜,182018条评论,法布尔昆虫记（全10册）（儿童彩图版）,北京科学技术出版社,¥178.50,90.
玛丽安妮,513条评论,美国妈妈选择奖金奖绘本（套装共4册）,天津人民出版社,¥87.20,91.
山姆·麦克布雷尼,70条评论,猜猜我有多爱你 信谊世界精选图画书,明天出版社,¥34.40,92.
东野圭吾,1159条评论,放学后（东野圭吾成名作）,南海出版公司,¥42.80,93.
余华,3269条评论,许三观卖血记（新版）,作家出版社,¥28.60,94.
